"Schema Name","ObjectName","RowCount","CompressionType"
"dbo","LichSuCapTheTT","2560291","NONE"
"dbo","CTPhieuQT","1198451","NONE"
"dbo","MonthlySelling_Report102023","1043805","NONE"
"dbo","MonthlySelling_Report082023","1026459","NONE"
"dbo","MonthlySelling_Report102022","1015508","NONE"
"dbo","MonthlySelling_Report112023","1003632","NONE"
"dbo","MonthlySelling_Report052024","1000193","NONE"
"dbo","MonthlySelling_Report072023","997043","NONE"
"dbo","MonthlySelling_Report092023","994610","NONE"
"dbo","MonthlySelling_Report012024","976554","NONE"
"dbo","MonthlySelling_Report052023","969226","NONE"
"dbo","MonthlySelling_Report082024","968432","NONE"
"dbo","MonthlySelling_Report112022","968176","NONE"
"dbo","MonthlySelling_Report042023","965562","NONE"
"dbo","MonthlySelling_Report032023","963089","NONE"
"dbo","MonthlySelling_Report112025","962426","NONE"
"dbo","MonthlySelling_Report072024","961788","NONE"
"dbo","MonthlySelling_Report062024","960306","NONE"
"dbo","MonthlySelling_Report082022","959857","NONE"
"dbo","MonthlySelling_Report032024","953067","NONE"
"dbo","MonthlySelling_Report102025","952514","NONE"
"dbo","MonthlySelling_Report092022","944699","NONE"
"dbo","MonthlySelling_Report042024","944238","NONE"
"dbo","MonthlySelling_Report102024","938992","NONE"
"dbo","MonthlySelling_Report082025","937729","NONE"
"dbo","MonthlySelling_Report062023","937532","NONE"
"dbo","MonthlySelling_Report072022","930779","NONE"
"dbo","MonthlySelling_Report092025","924630","NONE"
"dbo","MonthlySelling_Report072025","922192","NONE"
"dbo","MonthlySelling_Report122024","886925","NONE"
"dbo","MonthlySelling_Report092024","877623","NONE"
"dbo","MonthlySelling_Report062025","873833","NONE"
"dbo","MonthlySelling_Report112024","873309","NONE"
"dbo","MonthlySelling_Report052025","871403","NONE"
"dbo","MonthlySelling_Report032025","871013","NONE"
"dbo","MonthlySelling_Report062022","848779","NONE"
"dbo","MonthlySelling_Report052022","847239","NONE"
"dbo","MonthlySelling_Report042025","835767","NONE"
"dbo","MonthlySelling_Report022023","835420","NONE"
"dbo","MonthlySelling_Report012022","834785","NONE"
"dbo","MonthlySelling_Report032022","832802","NONE"
"dbo","MonthlySelling_Report112021","819203","NONE"
"dbo","MonthlySelling_Report012023","813749","NONE"
"dbo","MonthlySelling_Report042022","803873","NONE"
"dbo","MonthlySelling_Report012025","798991","NONE"
"dbo","ADDWinDSS_PMark","780000","NONE"
"dbo","MonthlySelling_Report022024","716600","NONE"
"dbo","MonthlySelling_Report022025","695633","NONE"
"dbo","MonthlySelling_Report022022","595621","NONE"
"dbo","AQuaTet_28122012","483416","NONE"
"dbo","AQuaTet_DatDk","483288","NONE"
"dbo","LOAI_DMKH_DOT1","483208","NONE"
"dbo","SGC_ADD_Sogia_TV","321506","NONE"
"dbo","TichLuy112025","224799","NONE"
"dbo","TichLuy102025","209104","NONE"
"dbo","TichLuy092025","189210","NONE"
"dbo","TichLuy122024","185577","NONE"
"dbo","TichLuy112024","184990","NONE"
"dbo","TichLuy102024","181092","NONE"
"dbo","TichLuy082025","177264","NONE"
"dbo","TichLuy062025","172710","NONE"
"dbo","TichLuy092024","171221","NONE"
"dbo","TichLuy072025","169308","NONE"
"dbo","TichLuy082024","167283","NONE"
"dbo","TichLuy042025","163880","NONE"
"dbo","TichLuy072024","163345","NONE"
"dbo","TichLuy052025","160759","NONE"
"dbo","TichLuy062024","155396","NONE"
"dbo","TichLuy032025","153950","NONE"
"dbo","TichLuy022025","152001","NONE"
"dbo","TichLuy052024","151453","NONE"
"dbo","TichLuy032024","148702","NONE"
"dbo","TichLuy042024","147494","NONE"
"dbo","TichLuy012025","146049","NONE"
"dbo","TichLuy022024","145174","NONE"
"dbo","TichLuy112023","144868","NONE"
"dbo","TichLuy012024","142842","NONE"
"dbo","TichLuy102023","137400","NONE"
"dbo","TichLuy092023","130570","NONE"
"dbo","TichLuy082023","123452","NONE"
"dbo","LOAI_DMKH_DOT1_1den12","120000","NONE"
"dbo","TichLuy072023","116205","NONE"
"dbo","TichLuy092022","75684","NONE"
"dbo","TichLuy112022","74833","NONE"
"dbo","TichLuy102022","74315","NONE"
"dbo","TichLuy082022","73430","NONE"
"dbo","TichLuy072022","66443","NONE"
"dbo","TichLuy062022","64145","NONE"
"dbo","TichLuy032022","60489","NONE"
"dbo","TichLuy052022","60447","NONE"
"dbo","TichLuy042022","60433","NONE"
"dbo","TichLuy022022","59052","NONE"
"dbo","TichLuy012022","58863","NONE"
"dbo","TichLuy062023","54422","NONE"
"dbo","TichLuy052023","51730","NONE"
"dbo","TichLuy042023","49079","NONE"
"dbo","TichLuy032023","47472","NONE"
"dbo","Monthly_Promotion082022","47304","NONE"
"dbo","Monthly_Promotion112022","46964","NONE"
"dbo","TichLuy022023","43909","NONE"
"dbo","Monthly_Promotion032022","43827","NONE"
"dbo","Monthly_Promotion052022","43493","NONE"
"dbo","TichLuy012023","41158","NONE"
"dbo","Monthly_Promotion072025","41137","NONE"
"dbo","Monthly_Promotion072024","41008","NONE"
"dbo","Monthly_Promotion042024","40831","NONE"
"dbo","Monthly_Promotion102024","40042","NONE"
"dbo","Monthly_Promotion102022","39044","NONE"
"dbo","Monthly_Promotion122024","37648","NONE"
"dbo","Monthly_Promotion092022","37532","NONE"
"dbo","Monthly_Promotion092025","37200","NONE"
"dbo","Monthly_Promotion072022","36491","NONE"
"dbo","Monthly_Promotion042025","35915","NONE"
"dbo","TichLu","35362","NONE"
"dbo","Monthly_Promotion042022","33703","NONE"
"dbo","Monthly_Promotion022023","33350","NONE"
"dbo","Monthly_Promotion102025","32469","NONE"
"dbo","Monthly_Promotion082024","32291","NONE"
"dbo","Monthly_Promotion012025","32083","NONE"
"dbo","Monthly_Promotion062024","31749","NONE"
"dbo","Monthly_Promotion062025","31631","NONE"
"dbo","Monthly_Promotion082025","31129","NONE"
"dbo","Monthly_Promotion112024","29679","NONE"
"dbo","Monthly_Promotion052025","29250","NONE"
"dbo","Monthly_Promotion102023","28458","NONE"
"dbo","Monthly_Promotion032023","27794","NONE"
"dbo","Monthly_Promotion092024","27143","NONE"
"dbo","Monthly_Promotion052024","26796","NONE"
"dbo","Monthly_Promotion022025","26088","NONE"
"dbo","Monthly_Promotion112025","26070","NONE"
"dbo","ctphieuqt_bk","25617","NONE"
"dbo","Monthly_Promotion042023","24709","NONE"
"dbo","SGC_TV_LenVIP_Da_Update","24086","NONE"
"dbo","Monthly_Promotion062022","23408","NONE"
"dbo","Monthly_Promotion032025","20820","NONE"
"dbo","Monthly_Promotion032013","18811","NONE"
"dbo","Monthly_Promotion112023","17429","NONE"
"dbo","Monthly_Promotion092023","16973","NONE"
"dbo","Monthly_Promotion022022","16139","NONE"
"dbo","TongHopSoLuongKhachHang_TheoDiaBan","14299","NONE"
"dbo","Monthly_Promotion052023","11707","NONE"
"dbo","Monthly_Promotion032024","11629","NONE"
"dbo","QueryResults419285","10005","NONE"
"dbo","dot1_12","10000","NONE"
"dbo","MSmerge_contents","9580","NONE"
"dbo","POllC8_SG","8877","NONE"
"dbo","Monthly_Promotion012023","7742","NONE"
"dbo","ScaleAdHanDung","6509","NONE"
"dbo","CBCNV","5360","NONE"
"dbo","CBCNV-VIP","3508","NONE"
"dbo","MSmerge_genhistory","1245","NONE"
"dbo","POLLC8","822","NONE"
"dbo","CTDoiCapDo","751","NONE"
"dbo","ADMMATHEPRICECALOGY_SGC","304","NONE"
"dbo","Temp","292","NONE"
"dbo","SGC_DocumentDetail","175","NONE"
"dbo","SGC_DocumentDetailBK2016","168","NONE"
"dbo","TongHopSoLuongKhachHang","161","NONE"
"dbo","SGC_DocumentIssue","155","NONE"
"dbo","History_XemBaoCao","152","NONE"
"dbo","SGC_ServiceSendData","135","NONE"
"dbo","SieuThi","128","NONE"
"dbo","SieuthiKtra","118","NONE"
"dbo","KhachHangDangKyMoi","106","NONE"
"dbo","SGC_Feedback","84","NONE"
"dbo","MSmerge_history","70","NONE"
"dbo","Monthly_Promotion022024","58","NONE"
"dbo","Monthly_Promotion012024","58","NONE"
"dbo","SGC_ApplicationItem","40","NONE"
"dbo","SGC_ApplicationItemBK2016","36","NONE"
"dbo","KhachHangLenCapDo","31","NONE"
"dbo","MSmerge_sessions","11","NONE"
"dbo","Monthly_Promotion082023","9","NONE"
"dbo","CTDonDatHang","6","NONE"
"dbo","Monthly_Promotion072023","5","NONE"
"dbo","MSmerge_articlehistory","5","NONE"
"dbo","Monthly_Promotion062023","5","NONE"
"dbo","ASthi","4","NONE"
"dbo","Monthly_Promotion012022","3","NONE"
"dbo","SGC_AttachmentBK2016","2","NONE"
"dbo","DANHSACH_QUATET","1","NONE"
"dbo","DoiCapDo","1","NONE"
"dbo","HDD","1","NONE"
"dbo","SGC_Attachment","1","NONE"
"dbo","MSmerge_replinfo","1","NONE"
"dbo","MSmerge_conflict_FrontEndDB109_SGC_DocumentIssue","0","NONE"
"dbo","MSmerge_agent_parameters","0","NONE"
"dbo","MSmerge_conflict_FrontEndDB109_SGC_Feedback","0","NONE"
"dbo","MSmerge_conflict_FrontEndDB109_LichSuCapTheTT","0","NONE"
"dbo","DonDatHang","0","NONE"
"dbo","MSmerge_conflicts_info","0","NONE"
"dbo","MSmerge_conflict_FrontEndDB109_SGC_ApplicationItem","0","NONE"
"dbo","MSmerge_conflict_FrontEndDB109_SGC_Attachment","0","NONE"
"dbo","MSmerge_conflict_FrontEndDB109_SGC_DocumentDetail","0","NONE"
"dbo","MSrepl_errors","0","NONE"
"dbo","MSmerge_identity_range","0","NONE"
"dbo","MSmerge_errorlineage","0","NONE"
"dbo","MSmerge_metadataaction_request","0","NONE"
"dbo","MSmerge_tombstone","0","NONE"
"dbo","MSmerge_settingshistory","0","NONE"
"dbo","sa","0","NONE"
"dbo","MSdynamicsnapshotviews","0","NONE"
"dbo","MSdynamicsnapshotjobs","0","NONE"
"dbo","MSmerge_past_partition_mappings","0","NONE"
"dbo","MSmerge_generation_partition_mappings","0","NONE"
"dbo","MSmerge_supportability_settings","0","NONE"
"dbo","MSmerge_dynamic_snapshots","0","NONE"
"dbo","MSmerge_current_partition_mappings","0","NONE"
"dbo","MSmerge_partition_groups","0","NONE"
"dbo","MSmerge_altsyncpartners","0","NONE"
"dbo","CTNhanQuaTT","0","NONE"
"dbo","MSmerge_conflict_FrontEndDB109_CTNhanQuaTT","0","NONE"
"dbo","MSsnapshotdeliveryprogress","0","NONE"
"dbo","MSmerge_log_files","0","NONE"
"dbo","MSmerge_conflict_FrontEndDB109_CTPhieuQT","0","NONE"
