"Schema Name","Object Name","index_id","Buffer size(MB)","BufferCount","Row Count","Compression Type"
"dbo","INVEVT","0","0.05","6","310234","NONE"
"dbo","INVEVT_Tmp","0","0.05","6","768","NONE"
"dbo","INVSET","0","0.03","4","9272","NONE"
"dbo","INVDPT","0","0.02","3","10274","NONE"
"dbo","INVEVT_NQ_MST","0","0.02","2","768","NONE"
"dbo","INVMST","0","0.02","2","455771","NONE"
"dbo","DMCF_Gui_Old","0","0.02","2","4835","NONE"
"dbo","INVTSERV31","1","0.01","1","51","NONE"
"dbo","INVEVT_220","0","0.01","1","45549","NONE"
"dbo","VENDOR","0","0.01","1","7717","NONE"
"dbo","INVEVT_Full","0","0.01","1","18731","NONE"
