"ObjectName","IndexName","index_id","Writes","Total Reads","Index Type","Fill Factor","has_filter","filter_definition","last_system_update","last_user_update"
"MonthlySelling_Report062021","","0","3617","0","HEAP","0","False","","","7/15/2025 1:50:48 PM"
"MonthlySelling_Report052021","","0","3519","0","HEAP","0","False","","","7/15/2025 1:49:03 PM"
"MonthlySelling_Report072021","","0","3079","0","HEAP","0","False","","","7/15/2025 1:54:02 PM"
"MonthlySelling_Report032020","","0","2901","0","HEAP","0","False","","","7/15/2025 1:44:41 PM"
"MonthlySelling_Report042021","","0","2838","0","HEAP","0","False","","","7/15/2025 1:46:16 PM"
"MonthlySelling_Report082020","","0","2711","0","HEAP","0","False","","","7/15/2025 1:55:35 PM"
"MonthlySelling_Report032021","","0","2703","0","HEAP","0","False","","","7/15/2025 1:44:42 PM"
"MonthlySelling_Report012021","","0","2682","0","HEAP","0","False","","","7/15/2025 1:40:28 PM"
"MonthlySelling_Report102020","","0","2680","0","HEAP","0","False","","","7/15/2025 1:58:39 PM"
"MonthlySelling_Report112020","","0","2680","0","HEAP","0","False","","","7/15/2025 2:00:13 PM"
"MonthlySelling_Report092020","","0","2534","0","HEAP","0","False","","","7/15/2025 1:57:07 PM"
"MonthlySelling_Report112019","","0","2511","0","HEAP","0","False","","","7/15/2025 2:00:09 PM"
"MonthlySelling_Report072020","","0","2497","0","HEAP","0","False","","","7/15/2025 1:52:24 PM"
"MonthlySelling_Report102019","","0","2484","0","HEAP","0","False","","","7/15/2025 1:58:31 PM"
"MonthlySelling_Report112021","","0","2453","0","HEAP","0","False","","","7/15/2025 2:00:04 PM"
"MonthlySelling_Report042020","","0","2410","0","HEAP","0","False","","","7/15/2025 1:46:06 PM"
"MonthlySelling_Report022020","","0","2400","0","HEAP","0","False","","","7/15/2025 1:43:06 PM"
"MonthlySelling_Report052020","","0","2380","0","HEAP","0","False","","","7/15/2025 1:48:35 PM"
"MonthlySelling_Report082019","","0","2380","0","HEAP","0","False","","","7/15/2025 1:53:47 PM"
"MonthlySelling_Report102021","","0","2377","0","HEAP","0","False","","","7/15/2025 1:58:29 PM"
"MonthlySelling_Report062020","","0","2343","0","HEAP","0","False","","","7/15/2025 1:50:19 PM"
"MonthlySelling_Report092019","","0","2337","0","HEAP","0","False","","","7/15/2025 1:56:59 PM"
"MonthlySelling_Report072019","","0","2242","0","HEAP","0","False","","","7/15/2025 1:52:18 PM"
"MonthlySelling_Report052019","","0","2164","0","HEAP","0","False","","","7/15/2025 1:47:22 PM"
"MonthlySelling_Report012020","","0","2146","0","HEAP","0","False","","","7/15/2025 1:37:46 PM"
