"Schema Name","ObjectName","RowCount","CompressionType"
"dbo","TNDSERV10","10244454","NONE"
"dbo","History_TNDSERV06","9289969","NONE"
"dbo","TNDSERV15","8836460","NONE"
"dbo","History_INVTSERV10","8768916","NONE"
"dbo","TNDSERV16","8536632","NONE"
"dbo","TNDSERV14","8324570","NONE"
"dbo","TNDSERV12","8236196","NONE"
"dbo","History_INVTSERV07","8080981","NONE"
"dbo","History_INVTSERV04","7581873","NONE"
"dbo","History_INVTSERV12","6970450","NONE"
"dbo","History_INVTSERV11","6940616","NONE"
"dbo","History_INVTSERV09","6793310","NONE"
"dbo","History_INVTSERV01","6787972","NONE"
"dbo","History_INVTSERV08","6769285","NONE"
"dbo","TNDSERV13","6361825","NONE"
"dbo","History_INVTSERV03","6257545","NONE"
"dbo","History_INVTSERV06","6028676","NONE"
"dbo","History_INVTSERV05","5665184","NONE"
"dbo","History_INVTSERV02","5094739","NONE"
"dbo","TNDSERV11","4679982","NONE"
"dbo","LichSuCapTheTT","4167797","NONE"
"dbo","The","3741515","NONE"
"dbo","TichLuy","3741515","NONE"
"dbo","TichLuyTrongNgay","3741515","NONE"
"dbo","KhachHang","3478257","NONE"
"dbo","ChiThuongCuoiNam_2021","2851398","NONE"
"dbo","History_TNDSERV07","2607167","NONE"
"dbo","ChiThuongCuoiNam","2553832","NONE"
"dbo","History_TNDSERV08","2511124","NONE"
"dbo","History_TNDSERV10","2483561","NONE"
"dbo","History_TNDSERV12","2297619","NONE"
"dbo","History_TNDSERV11","1982352","NONE"
"dbo","History_TNDSERV09","1794650","NONE"
"dbo","CTNhanThuong","1559899","NONE"
"dbo","History_TNDSERV01","1558934","NONE"
"dbo","History_TNDSERV05","1446830","NONE"
"dbo","CTPhatSinh10","1015508","NONE"
"dbo","CTPhatSinh","1006423","NONE"
"dbo","CTPhatSinh11","968180","NONE"
"dbo","CTPhatSinh08","959857","NONE"
"dbo","STAMPTRX_New_BK_VN052019","947248","NONE"
"dbo","CTPhatSinh09","944699","NONE"
"dbo","CTPhatSinh07","930779","NONE"
"dbo","STAMPTRX_New_BK_Bf082020","879833","NONE"
"dbo","STAMPTRX_New_BK_Bf130421","870776","NONE"
"dbo","CTPhatSinh06","848779","NONE"
"dbo","CTPhatSinh05","847239","NONE"
"dbo","Coupon","843972","NONE"
"dbo","CTPhatSinh01","834785","NONE"
"dbo","CTPhatSinh03","832802","NONE"
